process_code,process_name,department_code,department_name,predecessors,duration_max_days,start_by_date,finish_by_date,cumulative_day
1,PO Receipt & Order Review,PROJECTS,Projects / PMO,,2,2026-11-20,2026-11-23,2
2,Kick-Off / Pre-Inspection Meeting,PROJECTS,Projects / PMO,1,3,2026-11-23,2026-11-26,5
3,Engineering - Design Calculation,ENGINEERING,Design & Detail Engineering,2,10,2026-11-25,2026-12-07,14
4,Engineering - Manufacturing Drawings,ENGINEERING,Design & Detail Engineering,3,10,2026-12-03,2026-12-15,21
5,Client Drawing Approval,ENGINEERING,Design & Detail Engineering,4,15,2026-12-14,2026-12-31,35
6,BOM & MTO Finalization,PLANNING,Planning / PPC,4,4,2026-12-26,2026-12-31,35
7,Material Procurement - Plates,PROCUREMENT,Procurement,3,56,2026-12-07,2027-02-10,70
8,Material Procurement - Pipes/Forgings/Fittings,PROCUREMENT,Procurement,4,42,2026-12-15,2027-02-02,63
9,Bought-Out Items Procurement,PROCUREMENT,Procurement,4,35,2026-12-15,2027-01-25,56
10,Material Receipt & Incoming Inspection,STORES,Stores,7;8;9,3,2027-02-06,2027-02-10,70
11,Material Identification & Traceability,QC,Quality Control / QA,10,2,2027-02-08,2027-02-10,70
12,Cutting / Blanking / Petals,FABRICATION_PREP,Fabrication Prep,11,4,2027-02-05,2027-02-10,70
13,Forming / Rolling / Dishing,FABRICATION_PREP,Fabrication Prep,12,7,2027-02-10,2027-02-18,77
14,Machining,MACHINE_SHOP,Machine Shop,12,7,2027-02-10,2027-02-18,77
15,Shell Fit-Up,FABRICATION,Fabrication / Welding,13;14,4,2027-02-13,2027-02-18,77
16,Shell Welding,FABRICATION,Fabrication / Welding,15,7,2027-02-18,2027-02-26,84
17,Weld NDE,QC,Quality Control / QA,16,5,2027-02-20,2027-02-26,84
18,Head/Dish-End Assembly,FABRICATION,Fabrication / Welding,17,4,2027-02-22,2027-02-26,84
19,Nozzle Fabrication & Fit-Up,FABRICATION,Fabrication / Welding,18,5,2027-02-20,2027-02-26,84
20,Nozzle Welding,FABRICATION,Fabrication / Welding,19,5,2027-03-01,2027-03-06,91
21,PWHT / Heat Treatment,HEAT_TREATMENT,Heat Treatment,20,5,2027-03-01,2027-03-06,91
22,NDE After Welding/PWHT,QC,Quality Control / QA,21,5,2027-03-01,2027-03-06,91
23,Internal & External Attachments,FABRICATION,Fabrication / Welding,22,7,2027-03-06,2027-03-15,98
24,Final Assembly,FABRICATION,Fabrication / Welding,23,5,2027-03-09,2027-03-15,98
25,Final Dimensional Inspection,QC,Quality Control / QA,24,2,2027-03-12,2027-03-15,98
26,Final Visual Inspection,QC,Quality Control / QA,25,1,2027-03-13,2027-03-15,98
27,Hydrostatic / Pressure Test,QC,Quality Control / QA,26,2,2027-03-12,2027-03-15,98
28,Draining & Drying,FABRICATION,Fabrication / Welding,27,2,2027-03-12,2027-03-15,98
29,Surface Preparation,SURFACE_PAINT,Surface Treatment & Painting,28,3,2027-03-19,2027-03-23,105
30,Painting / Coating,SURFACE_PAINT,Surface Treatment & Painting,29,5,2027-03-17,2027-03-23,105
31,Final Inspection,QC,Quality Control / QA,30,3,2027-03-27,2027-03-31,112
32,Name Plate & Final Stamping,QC,Quality Control / QA,31,1,2027-03-30,2027-03-31,112
33,MDR / Final Documentation,DOCUMENTATION,Documentation / MDR,32,7,2027-03-31,2027-04-08,119
34,Packing & Preservation,DISPATCH,Dispatch & Logistics,32,3,2027-04-05,2027-04-08,119
35,Dispatch Clearance,DISPATCH,Dispatch & Logistics,33;34,2,2027-04-06,2027-04-08,119
36,Dispatch,DISPATCH,Dispatch & Logistics,35,1,2027-04-07,2027-04-08,119
